iter	Passed	Remaining
0	1096	2191937
1	2265	2262920
2	3104	2066505
3	4012	2002384
4	4908	1958496
5	5997	1993054
6	6801	1936530
7	7655	1906193
8	8522	1885307
9	9333	1857328
10	10121	1830074
11	10964	1816421
12	11788	1801785
13	12560	1781768
14	13350	1766652
15	14093	1747619
16	14765	1722407
17	15500	1706785
18	16226	1691858
19	16907	1673865
20	17598	1658485
21	18291	1644606
22	19042	1636792
23	19711	1622937
24	20457	1616125
25	21153	1606005
26	21865	1597777
27	22651	1595288
28	23528	1599104
29	24258	1592961
30	25006	1588312
31	25721	1581895
32	26492	1579139
33	27374	1582915
34	28012	1572703
35	28700	1565759
36	29531	1566778
37	30325	1565772
38	31134	1565481
39	31890	1562650
40	32607	1558007
41	33374	1555878
42	34189	1556007
43	34980	1555057
44	35693	1550669
45	36429	1547440
46	37214	1546379
47	38046	1547231
48	38837	1546366
49	39606	1544670
50	40437	1545328
51	41224	1544344
52	42008	1543201
53	42742	1540329
54	43512	1538761
55	44329	1538873
56	45099	1537340
57	45867	1535773
58	46674	1535526
59	47456	1534421
60	48228	1533038
61	48968	1530648
62	49703	1528185
63	50422	1525280
64	51302	1527221
